T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação
T;Cod. Instituição;Cód. Planilha;Código;Descrição;;
T;1;1394;;;;
T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação \ Ensino Fundamental
T;Cod. Instituição;Cód. Planilha;Código;Descrição;;
T;1;1535;;;;
T;Dados Gerais \ Administração Consolidada \ Despesas com Manutenção e Desenvolvimento do Ensino \ Despesas Custeadas c/ Recursos Vinculados \ Transferências de Municípios referentes a Convênios ou de Contratos de Repasse vinculados à Educação \ Ensino Fundamental \ 122 - Administração Geral
T;Cod. Instituição;Cód. Planilha;Código;Descrição;Dotação Atualizada 2021;Desp. Empenhadas 2021;Desp. Liquidadas 2021;Desp. Pagas 2021;RP Processados 2021;RP Não Processados 2021
V;1;1536;3.1.90.11.52;Licença Saúde;;;;;;
V;1;1536;3.1.90.11.73;Remun. Particip. Orgaos Deliberacao  Coletiva;;;;;;
V;1;1536;3.1.90.11.74;Subsidios (Exceto Agentes Políticos);;;;;;
V;1;1536;3.1.90.11.75;Subsidios – Agentes Políticos;;;;;;
V;1;1536;3.1.90.11.77;Remuneração de Pessoal Em Disponibilidade;;;;;;
V;1;1536;3.1.90.11.99;Outras Despesas Fixas - Pessoal Civil;;;;;;
V;1;1536;3.1.90.12.00;Vencimentos e Vantagens Fixas - Pessoal Militar;;;;;;
V;1;1536;3.1.90.12.01;Soldo;;;;;;
V;1;1536;3.1.90.12.42;Ferias Vencidas e Proporcionais;;;;;;
V;1;1536;3.1.90.12.43;Adicional Natalino;;;;;;
V;1;1536;3.1.90.12.45;Ferias - Abono Constitucional;;;;;;
V;1;1536;3.1.90.12.52;Outros Adicionais, Vantagens,Gratificações e Outros Complementos de Vencimentos - Pessoal Militar;;;;;;
V;1;1536;3.1.90.12.99;Outras Despesas Fixas - Pessoal Militar;;;;;;
V;1;1536;3.1.90.13.00;Obrigações Patronais;;;;;;
V;1;1536;3.1.90.13.01;Fgts;;;;;;
V;1;1536;3.1.90.13.02;Contribuicoes Previdenciarias - Inss;;;;;;
V;1;1536;3.1.90.13.04;Contribuicao de Salario-Educacao;;;;;;
V;1;1536;3.1.90.13.07;Obrigações Patronais - Contrato Por Tempo Determinado;;;;;;
V;1;1536;3.1.90.13.08;Contribuicoes Previdenciarias - Rpps - Pessoal Ativo;;;;;;
V;1;1536;3.1.90.13.09;Seguros de Acidentes do Trabalho;;;;;;
V;1;1536;3.1.90.13.10;Contribuicoes Previdenciarias - Rpps - Pessoal Inativo;;;;;;
V;1;1536;3.1.90.13.11;Fgts - Pdv;;;;;;
V;1;1536;3.1.90.13.18;Contribuicao Para O Pis/Pasep S/Folha Pagto;;;;;;
V;1;1536;3.1.90.13.40;Encargos de Pessoal Requisit. de Outros Entes;;;;;;
V;1;1536;3.1.90.13.99;Outras Obrigacoes Patronais;;;;;;
V;1;1536;3.1.90.16.00;Outras Despesas Variáveis - Pessoal Civil;;;;;;
V;1;1536;3.1.90.16.08;Gratificacao Eleitoral;;;;;;
V;1;1536;3.1.90.16.32;Substituicoes;;;;;;
V;1;1536;3.1.90.16.34;Aviso Previo;;;;;;
V;1;1536;3.1.90.16.36;Adicional Por Plantão Hospitalar;;;;;;
V;1;1536;3.1.90.16.44;Servicos Extraordinarios;;;;;;
V;1;1536;3.1.90.16.45;Participacao a Empregados e Administradores;;;;;;
V;1;1536;3.1.90.16.76;Auxilio Moradia;;;;;;
V;1;1536;3.1.90.16.99;Outras Despesas Variaveis - Pessoal Civil;;;;;;
V;1;1536;3.1.90.17.00;Outras Despesas Variáveis - Pessoal Militar;;;;;;
V;1;1536;3.1.90.17.02;Ajuda de Custo Tranf.Ativ.Mili. P/Inat Remune;;;;;;
V;1;1536;3.1.90.17.99;Outras Despesas Variaveis - Pessoal Militar;;;;;;
V;1;1536;3.1.90.67.00;Depósitos Compulsórios;;;;;;
V;1;1536;3.1.90.91.00;Sentenças Judiciais;;;;;;
V;1;1536;3.1.90.91.01;Precatorios - Ativo Civil;;;;;;
V;1;1536;3.1.90.91.02;Precatorios - Ativo Militar;;;;;;
V;1;1536;3.1.90.91.08;Sentenca Judicial - Ativo Civil;;;;;;
V;1;1536;3.1.90.91.09;Sentenca Judicial - Inativo Civil;;;;;;
V;1;1536;3.1.90.91.10;Sentença Judicial - Pensionista Civil;;;;;;
V;1;1536;3.1.90.91.11;Sentenca Judicial - Ativo Militar;;;;;;
V;1;1536;3.1.90.91.12;Sentenca Judicial - Inativo Militar;;;;;;
V;1;1536;3.1.90.91.13;Sentenca Judicial - Pensionista Militar;;;;;;
V;1;1536;3.1.90.91.14;Sent.Jud.Nao Trans Julg Ativo Civil;;;;;;
V;1;1536;3.1.90.91.15;Sent.Jud.Nao Trans Julg Inativo Civil;;;;;;
V;1;1536;3.1.90.91.16;Sent.Jud.Nao Trans.Julg Pensionista Civil;;;;;;
V;1;1536;3.1.90.91.17;Sent.Jud.Nao Trans.Julg Ativo Militar;;;;;;
V;1;1536;3.1.90.91.18;Sent.Jud.Nao Trans.Julg Inativo Militar;;;;;;
V;1;1536;3.1.90.91.19;Sent.Jud.Nao Trans.Julg Pensionista Militar;;;;;;
V;1;1536;3.1.90.91.20;Depósitos Judiciais;;;;;;
V;1;1536;3.1.90.91.23;Precatorios - Inativo Civil;;;;;;
V;1;1536;3.1.90.91.24;Precatorios - Inativos Militar;;;;;;
V;1;1536;3.1.90.91.25;Honorarios Sucumbenciais de Precatorios;;;;;;
V;1;1536;3.1.90.91.26;Sentenca Judicial de Peq Valor - Ativo Civil;;;;;;
V;1;1536;3.1.90.91.27;Sentença Judicial de Peq Valor - Ativo Militar;;;;;;
V;1;1536;3.1.90.91.28;Sentença Judicial de Peq Valor - Inativo Civil;;;;;;
V;1;1536;3.1.90.91.29;Sentença Judicial de Peq Valor - Inativo Militar;;;;;;
V;1;1536;3.1.90.91.30;Sentenca Judicial de Peq Valor - Pensionista Civil;;;;;;
V;1;1536;3.1.90.91.31;Sentença Judicial de Peq Valor - Pensionista Militar;;;;;;
V;1;1536;3.1.90.91.36;Precatorios - Pensionista Civil;;;;;;
V;1;1536;3.1.90.91.37;Precatorios - Pensionista Militar;;;;;;
V;1;1536;3.1.90.91.97;Outros Precatórios Judiciais;;;;;;
V;1;1536;3.1.90.91.99;Outras Sentencas Judiciais;;;;;;
V;1;1536;3.1.90.92.00;Despesas de Exercícios Anteriores;;;;;;
V;1;1536;3.1.90.92.01;Aposentadorias, Reserva Remunerada e Reformas;;;;;;
V;1;1536;3.1.90.92.03;Pensoes do Rpps e do Militar;;;;;;
V;1;1536;3.1.90.92.04;Contratacao Por Tempo Determinado;;;;;;
V;1;1536;3.1.90.92.05;Outros Benef.Previd.Do Servidor Ou do Militar;;;;;;
V;1;1536;3.1.90.92.07;Contrib. a Entidades Fechadas de Previdencia;;;;;;
V;1;1536;3.1.90.92.11;Vencimentos e Vantagens Fixas - Pessoal Civil;;;;;;
V;1;1536;3.1.90.92.12;Vencimentos e Vantagens Fixas-Pessoal Militar;;;;;;
V;1;1536;3.1.90.92.13;Obrigacoes Patronais;;;;;;
V;1;1536;3.1.90.92.16;Outras Despesas Variaveis - Pessoal Civil;;;;;;
V;1;1536;3.1.90.92.17;Outras Despesas Variaveis - Pessoal Militar;;;;;;
V;1;1536;3.1.90.92.59;Pensões Especiais;;;;;;
V;1;1536;3.1.90.92.91;Sentencas Judiciais;;;;;;
V;1;1536;3.1.90.92.94;Indenizacoes e Restituicoes Trabalhistas;;;;;;
V;1;1536;3.1.90.92.96;Ressarcimento de Despesas Com Pessoal Requisitado;;;;;;
V;1;1536;3.1.90.92.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.90.92.99;Outras Despesas de Exercicios Anteriores;;;;;;
V;1;1536;3.1.90.94.00;Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.90.94.01;Indenizacoes e Restituicoes Trab. Ativo Civil;;;;;;
V;1;1536;3.1.90.94.02;Indenizacoes e Restituicoes Trab. Ativo Mil.;;;;;;
V;1;1536;3.1.90.94.03;Indenizacoes e Restituicoes Trab. Inat. Civil;;;;;;
V;1;1536;3.1.90.94.04;Indenizacoes e Restituicoes Trab. Inat. Mil.;;;;;;
V;1;1536;3.1.90.94.06;Indenizacoes e Restituicoes Trab.Pens.Militar;;;;;;
V;1;1536;3.1.90.94.13;Indenizacoes e Restituicoes Trab.Pens.Civil;;;;;;
V;1;1536;3.1.90.94.14;Compensacao Pecuniária - Lei 7.963/1989;;;;;;
V;1;1536;3.1.90.94.15;Ind.Lic.Esp(Mp 2215-10/2001 e Lei 10486/2002);;;;;;
V;1;1536;3.1.90.94.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.90.94.99;Outras Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.90.96.00;Ressarcimento de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.90.96.01;Pessoal Requisitado de Outros Órgãos da Mesma Administração;;;;;;
V;1;1536;3.1.90.96.02;Pessoal Requisitado de Outros Entes;;;;;;
V;1;1536;3.1.90.96.99;Outros Ressarcimentos de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.90.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.91.00.00;Aplicação Direta Decorrente de Operação Entre Órgãos, Fundos e Entidades Integrantes Dos Orçamentos Fiscal e da Seguridade Social;;;;;;
V;1;1536;3.1.91.04.00;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.91.13.00;Contribuições Patronais;;;;;;
V;1;1536;3.1.91.13.02;Contribuicoes Previdenciarias - Inss;;;;;;
V;1;1536;3.1.91.13.04;Contribuicao de Salario-Educacao;;;;;;
V;1;1536;3.1.91.13.08;Contribuicoes Previdenciarias - Rpps - Pessoal Ativo - Plano Previdenciário;;;;;;
V;1;1536;3.1.91.13.09;Seguros de Acidentes do Trabalho;;;;;;
V;1;1536;3.1.91.13.10;Contribuicoes Previdenciarias - Rpps - Pessoal Inativo e Pensionista - Plano Previdenciário;;;;;;
V;1;1536;3.1.91.13.11;Contribuicoes Previdenciarias - Rpps - Pessoal Ativo - Plano Financeiro;;;;;;
V;1;1536;3.1.91.13.12;Contribuicoes Previdenciarias - Rpps - Pessoal Inativo e Pensionista - Plano Financeiro;;;;;;
V;1;1536;3.1.91.13.20;Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Ativo - Plano Previdenciário;;;;;;
V;1;1536;3.1.91.13.21;Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Inativo e Pensionista - Plano Previdenciário;;;;;;
V;1;1536;3.1.91.13.22;Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Ativo - Plano Financeiro;;;;;;
V;1;1536;3.1.91.13.23;Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Inativo e Pensionista - Plano Financeiro;;;;;;
V;1;1536;3.1.91.13.99;Outras Obrigacoes Patronais;;;;;;
V;1;1536;3.1.91.91.00;Sentenças Judiciais;;;;;;
V;1;1536;3.1.91.91.51;Obrigacoes Patronais de Precatorios;;;;;;
V;1;1536;3.1.91.91.52;Obrigacoes Patronais - Sent.Jud.Pequeno Valor;;;;;;
V;1;1536;3.1.91.91.53;Obrigacoes Patronais Sent.Jud.-Pessoal Civil;;;;;;
V;1;1536;3.1.91.91.54;Obrigacoes Patronais Sent.Jud.-Pessoal Militar;;;;;;
V;1;1536;3.1.91.91.99;Outras Sentencas Judiciais;;;;;;
V;1;1536;3.1.91.92.00;Despesas de Exercícios Anteriores;;;;;;
V;1;1536;3.1.91.92.04;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.91.92.05;Contribuicoes Previdenciarias - Rpps - Pessoal Ativo do Plano Previdenciário;;;;;;
V;1;1536;3.1.91.92.06;Contribuicoes Previdenciarias - Rpps - Pessoal Inativo e Pensionista do Plano Previdenciário;;;;;;
V;1;1536;3.1.91.92.07;Contribuicoes Previdenciarias - Rpps - Pessoal Ativo do Plano Financeiro;;;;;;
V;1;1536;3.1.91.92.08;Contribuicoes Previdenciarias - Rpps - Pessoal Inativo e Pensionista do Plano Financeiro;;;;;;
V;1;1536;3.1.91.92.09;Alíquota Suplementar de Contribuição Previdenciária - Pessoal Ativo do Plano Previdenciário;;;;;;
V;1;1536;3.1.91.92.10;Alíquota Suplementar de Contribuição Previdenciária - Pessoal Inativo e Pensionista do Plano Previdenciário;;;;;;
V;1;1536;3.1.91.92.11;Alíquota Suplementar de Contribuição Previdenciária - Pessoal Ativo do Plano Financeiro;;;;;;
V;1;1536;3.1.91.92.12;Alíquota Suplementar de Contribuição Previdenciária - Pessoal Inativo e Pensionista do Plano Financeiro;;;;;;
V;1;1536;3.1.91.92.13;Demais Obrigacoes Patronais;;;;;;
V;1;1536;3.1.91.92.51;Indenizacoes Trabalhistas - Obrig Patronais;;;;;;
V;1;1536;3.1.91.92.91;Sentencas Judiciais;;;;;;
V;1;1536;3.1.91.92.96;Ressarcimento de Despesas Com Pessoal Requisitado;;;;;;
V;1;1536;3.1.91.92.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.91.92.99;Outras Despesas de Exercicios Anteriores;;;;;;
V;1;1536;3.1.91.94.00;Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.91.94.51;Indenizacoes Trabalhistas - Obrig Patronais;;;;;;
V;1;1536;3.1.91.94.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.91.94.99;Outras Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.91.96.00;Ressarcimento de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.91.96.01;Pessoal Requisitado de Outros Órgãos da Mesma Administração;;;;;;
V;1;1536;3.1.91.96.99;Outros Ressarcimentos de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.91.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.93.00.00;Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes Dos Orçamentos Fiscal e da Seguridade Social Com Consórcio Público do Qual O Ente Participe;;;;;;
V;1;1536;3.1.94.00.00;Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes Dos Orçamentos Fiscal e da Seguridade Social Com Consórcio Público do Qual O Ente Não Participe;;;;;;
V;1;1536;3.1.95.00.00;Aplicação Direta à Conta de Recursos de Que Tratam Os §§ 1º e 2º do Art. 24 da Lei Complementar Nº 141, de 2012.;;;;;;
V;1;1536;3.1.95.04.00;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.95.07.00;Contribuição a Entidades Fechadas de Previdência;;;;;;
V;1;1536;3.1.95.11.00;Vencimentos e Vantagens Fixas - Pessoal Civil;;;;;;
V;1;1536;3.1.95.13.00;Obrigações Patronais;;;;;;
V;1;1536;3.1.95.16.00;Outras Despesas Variáveis - Pessoal Civil;;;;;;
V;1;1536;3.1.95.67.00;Depósitos Compulsórios;;;;;;
V;1;1536;3.1.95.91.00;Sentenças Judiciais;;;;;;
V;1;1536;3.1.95.92.00;Despesas de Exercícios Anteriores;;;;;;
V;1;1536;3.1.95.94.00;Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.95.94.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.95.94.99;Outras Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.95.96.00;Ressarcimento de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.95.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.96.00.00;Aplicação Direta à Conta de Recursos de Que Trata O Art. 25 da Lei Complementar Nº 141, de 2012.;;;;;;
V;1;1536;3.1.96.04.00;Contratação Por Tempo Determinado;;;;;;
V;1;1536;3.1.96.07.00;Contribuição a Entidades Fechadas de Previdência;;;;;;
V;1;1536;3.1.96.11.00;Vencimentos e Vantagens Fixas - Pessoal Civil;;;;;;
V;1;1536;3.1.96.13.00;Obrigações Patronais;;;;;;
V;1;1536;3.1.96.16.00;Outras Despesas Variáveis - Pessoal Civil;;;;;;
V;1;1536;3.1.96.67.00;Depósitos Compulsórios;;;;;;
V;1;1536;3.1.96.91.00;Sentenças Judiciais;;;;;;
V;1;1536;3.1.96.92.00;Despesas de Exercícios Anteriores;;;;;;
V;1;1536;3.1.96.94.00;Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.96.94.98;Indenizações Por Demissão e Com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil;;;;;;
V;1;1536;3.1.96.94.99;Outras Indenizações e Restituições Trabalhistas;;;;;;
V;1;1536;3.1.96.96.00;Ressarcimento de Despesas de Pessoal Requisitado;;;;;;
V;1;1536;3.1.96.99.00;Elemento Genérico;;;;;;
V;1;1536;3.1.99.00.00;Modalidade Genérica;;;;;;
V;1;1536;3.2.00.00.00;Juros e Encargos da Dívida;;;;;;
V;1;1536;3.2.20.00.00;Transferências à União;;;;;;
V;1;1536;3.2.22.00.00;Execução Orçamentária Delegada à União;;;;;;
V;1;1536;3.2.30.00.00;Transferências a Estados e ao Distrito Federal;;;;;;
V;1;1536;3.2.31.00.00;Transferências a Estados e ao Distrito Federal - Fundo a Fundo;;;;;;
V;1;1536;3.2.32.00.00;Execução Orçamentária Delegada a Estados e ao Distrito Federal;;;;;;
